,X,Y,com_insee,com_nom,acc,Type,geometry,0
0,2.954249,48.3631342998498,77172,Esmans,Intérieur,aed,POINT (2.954249 48.3631342998498),21391
0,2.954249,48.3631342998498,77172,Esmans,Intérieur,aed,POINT (2.954249 48.3631342998498),21516
0,2.954249,48.3631342998498,77172,Esmans,Intérieur,aed,POINT (2.954249 48.3631342998498),21517
0,2.954249,48.3631342998498,77172,Esmans,Intérieur,aed,POINT (2.954249 48.3631342998498),21642
0,2.954249,48.3631342998498,77172,Esmans,Intérieur,aed,POINT (2.954249 48.3631342998498),21643
1,2.3395195,48.8912837997193,75056,Paris,Intérieur,aed,POINT (2.3395195 48.8912837997193),12764
1,2.3395195,48.8912837997193,75056,Paris,Intérieur,aed,POINT (2.3395195 48.8912837997193),12889
1,2.3395195,48.8912837997193,75056,Paris,Intérieur,aed,POINT (2.3395195 48.8912837997193),12890
1,2.3395195,48.8912837997193,75056,Paris,Intérieur,aed,POINT (2.3395195 48.8912837997193),13016
2,2.6856815,48.2678406998731,77431,Saint-Pierre-lès-Nemours,Extérieur,aed,POINT (2.6856815 48.2678406998731),17621
2,2.6856815,48.2678406998731,77431,Saint-Pierre-lès-Nemours,Extérieur,aed,POINT (2.6856815 48.2678406998731),17747
2,2.6856815,48.2678406998731,77431,Saint-Pierre-lès-Nemours,Extérieur,aed,POINT (2.6856815 48.2678406998731),17748
2,2.6856815,48.2678406998731,77431,Saint-Pierre-lès-Nemours,Extérieur,aed,POINT (2.6856815 48.2678406998731),17873
2,2.6856815,48.2678406998731,77431,Saint-Pierre-lès-Nemours,Extérieur,aed,POINT (2.6856815 48.2678406998731),17874
3,2.8888013,48.6136579997881,77317,Mormant,Extérieur,aed,POINT (2.8888013 48.6136579997881),20480
3,2.8888013,48.6136579997881,77317,Mormant,Extérieur,aed,POINT (2.8888013 48.6136579997881),20481
3,2.8888013,48.6136579997881,77317,Mormant,Extérieur,aed,POINT (2.8888013 48.6136579997881),20606
3,2.8888013,48.6136579997881,77317,Mormant,Extérieur,aed,POINT (2.8888013 48.6136579997881),20607
3,2.8888013,48.6136579997881,77317,Mormant,Extérieur,aed,POINT (2.8888013 48.6136579997881),20733
4,2.8250363,48.6445335997805,77493,Verneuil-l'Étang,Extérieur,aed,POINT (2.8250363 48.6445335997805),19595
4,2.8250363,48.6445335997805,77493,Verneuil-l'Étang,Extérieur,aed,POINT (2.8250363 48.6445335997805),19596
4,2.8250363,48.6445335997805,77493,Verneuil-l'Étang,Extérieur,aed,POINT (2.8250363 48.6445335997805),19721
4,2.8250363,48.6445335997805,77493,Verneuil-l'Étang,Extérieur,aed,POINT (2.8250363 48.6445335997805),19722
4,2.8250363,48.6445335997805,77493,Verneuil-l'Étang,Extérieur,aed,POINT (2.8250363 48.6445335997805),19847
5,2.6605618,48.8389057997323,77121,Collégien,Intérieur,aed,POINT (2.6605618 48.8389057997323),17180
5,2.6605618,48.8389057997323,77121,Collégien,Intérieur,aed,POINT (2.6605618 48.8389057997323),17305
5,2.6605618,48.8389057997323,77121,Collégien,Intérieur,aed,POINT (2.6605618 48.8389057997323),17306
5,2.6605618,48.8389057997323,77121,Collégien,Intérieur,aed,POINT (2.6605618 48.8389057997323),17431
5,2.6605618,48.8389057997323,77121,Collégien,Intérieur,aed,POINT (2.6605618 48.8389057997323),17432
6,2.6596409,48.8387739997323,77121,Collégien,Intérieur,aed,POINT (2.6596409 48.8387739997323),17180
6,2.6596409,48.8387739997323,77121,Collégien,Intérieur,aed,POINT (2.6596409 48.8387739997323),17305
6,2.6596409,48.8387739997323,77121,Collégien,Intérieur,aed,POINT (2.6596409 48.8387739997323),17306
6,2.6596409,48.8387739997323,77121,Collégien,Intérieur,aed,POINT (2.6596409 48.8387739997323),17431
6,2.6596409,48.8387739997323,77121,Collégien,Intérieur,aed,POINT (2.6596409 48.8387739997323),17432
7,2.6591875,48.8388704997323,77059,Bussy-Saint-Martin,Intérieur,aed,POINT (2.6591875 48.8388704997323),17180
7,2.6591875,48.8388704997323,77059,Bussy-Saint-Martin,Intérieur,aed,POINT (2.6591875 48.8388704997323),17305
7,2.6591875,48.8388704997323,77059,Bussy-Saint-Martin,Intérieur,aed,POINT (2.6591875 48.8388704997323),17306
7,2.6591875,48.8388704997323,77059,Bussy-Saint-Martin,Intérieur,aed,POINT (2.6591875 48.8388704997323),17431
7,2.6591875,48.8388704997323,77059,Bussy-Saint-Martin,Intérieur,aed,POINT (2.6591875 48.8388704997323),17432
8,2.6631385,48.8345103997334,77121,Collégien,Intérieur,aed,POINT (2.6631385 48.8345103997334),17306
8,2.6631385,48.8345103997334,77121,Collégien,Intérieur,aed,POINT (2.6631385 48.8345103997334),17307
8,2.6631385,48.8345103997334,77121,Collégien,Intérieur,aed,POINT (2.6631385 48.8345103997334),17432
8,2.6631385,48.8345103997334,77121,Collégien,Intérieur,aed,POINT (2.6631385 48.8345103997334),17433
8,2.6631385,48.8345103997334,77121,Collégien,Intérieur,aed,POINT (2.6631385 48.8345103997334),17558
9,2.6608079,48.8344315997334,77468,Torcy,Intérieur,aed,POINT (2.6608079 48.8344315997334),17180
9,2.6608079,48.8344315997334,77468,Torcy,Intérieur,aed,POINT (2.6608079 48.8344315997334),17306
9,2.6608079,48.8344315997334,77468,Torcy,Intérieur,aed,POINT (2.6608079 48.8344315997334),17307
9,2.6608079,48.8344315997334,77468,Torcy,Intérieur,aed,POINT (2.6608079 48.8344315997334),17432
9,2.6608079,48.8344315997334,77468,Torcy,Intérieur,aed,POINT (2.6608079 48.8344315997334),17433
