,X,Y,com_insee,com_nom,Type,geometry,0
0,2.7259182,48.2663035998735,77156,Darvault,recycling,POINT (2.7259182 48.2663035998735),18251
0,2.7259182,48.2663035998735,77156,Darvault,recycling,POINT (2.7259182 48.2663035998735),18252
0,2.7259182,48.2663035998735,77156,Darvault,recycling,POINT (2.7259182 48.2663035998735),18377
0,2.7259182,48.2663035998735,77156,Darvault,recycling,POINT (2.7259182 48.2663035998735),18378
1,2.7345173,48.2706366998724,77156,Darvault,recycling,POINT (2.7345173 48.2706366998724),18377
1,2.7345173,48.2706366998724,77156,Darvault,recycling,POINT (2.7345173 48.2706366998724),18503
1,2.7345173,48.2706366998724,77156,Darvault,recycling,POINT (2.7345173 48.2706366998724),18504
1,2.7345173,48.2706366998724,77156,Darvault,recycling,POINT (2.7345173 48.2706366998724),18629
2,2.7345817,48.272214899872,77156,Darvault,recycling,POINT (2.7345817 48.272214899872),18376
2,2.7345817,48.272214899872,77156,Darvault,recycling,POINT (2.7345817 48.272214899872),18377
2,2.7345817,48.272214899872,77156,Darvault,recycling,POINT (2.7345817 48.272214899872),18502
2,2.7345817,48.272214899872,77156,Darvault,recycling,POINT (2.7345817 48.272214899872),18503
2,2.7345817,48.272214899872,77156,Darvault,recycling,POINT (2.7345817 48.272214899872),18629
3,2.73636,48.2727504998719,77156,Darvault,recycling,POINT (2.73636 48.2727504998719),18376
3,2.73636,48.2727504998719,77156,Darvault,recycling,POINT (2.73636 48.2727504998719),18377
3,2.73636,48.2727504998719,77156,Darvault,recycling,POINT (2.73636 48.2727504998719),18502
3,2.73636,48.2727504998719,77156,Darvault,recycling,POINT (2.73636 48.2727504998719),18503
3,2.73636,48.2727504998719,77156,Darvault,recycling,POINT (2.73636 48.2727504998719),18629
4,2.26664,48.8165004997378,92040,Issy-les-Moulineaux,recycling,POINT (2.26664 48.8165004997378),11764
4,2.26664,48.8165004997378,92040,Issy-les-Moulineaux,recycling,POINT (2.26664 48.8165004997378),11765
4,2.26664,48.8165004997378,92040,Issy-les-Moulineaux,recycling,POINT (2.26664 48.8165004997378),11890
4,2.26664,48.8165004997378,92040,Issy-les-Moulineaux,recycling,POINT (2.26664 48.8165004997378),11891
4,2.26664,48.8165004997378,92040,Issy-les-Moulineaux,recycling,POINT (2.26664 48.8165004997378),12016
5,2.2666207,48.8164881997378,92040,Issy-les-Moulineaux,recycling,POINT (2.2666207 48.8164881997378),11764
5,2.2666207,48.8164881997378,92040,Issy-les-Moulineaux,recycling,POINT (2.2666207 48.8164881997378),11765
5,2.2666207,48.8164881997378,92040,Issy-les-Moulineaux,recycling,POINT (2.2666207 48.8164881997378),11890
5,2.2666207,48.8164881997378,92040,Issy-les-Moulineaux,recycling,POINT (2.2666207 48.8164881997378),11891
5,2.2666207,48.8164881997378,92040,Issy-les-Moulineaux,recycling,POINT (2.2666207 48.8164881997378),12016
6,2.5381646,48.8340133997335,94079,Villiers-sur-Marne,recycling,POINT (2.5381646 48.8340133997335),15542
6,2.5381646,48.8340133997335,94079,Villiers-sur-Marne,recycling,POINT (2.5381646 48.8340133997335),15543
6,2.5381646,48.8340133997335,94079,Villiers-sur-Marne,recycling,POINT (2.5381646 48.8340133997335),15668
6,2.5381646,48.8340133997335,94079,Villiers-sur-Marne,recycling,POINT (2.5381646 48.8340133997335),15669
6,2.5381646,48.8340133997335,94079,Villiers-sur-Marne,recycling,POINT (2.5381646 48.8340133997335),15794
7,2.3078336,48.68688299977,91345,Longjumeau,recycling,POINT (2.3078336 48.68688299977),12283
7,2.3078336,48.68688299977,91345,Longjumeau,recycling,POINT (2.3078336 48.68688299977),12408
7,2.3078336,48.68688299977,91345,Longjumeau,recycling,POINT (2.3078336 48.68688299977),12409
7,2.3078336,48.68688299977,91345,Longjumeau,recycling,POINT (2.3078336 48.68688299977),12534
7,2.3078336,48.68688299977,91345,Longjumeau,recycling,POINT (2.3078336 48.68688299977),12535
8,2.288655,48.6956521997678,91345,Longjumeau,recycling,POINT (2.288655 48.6956521997678),12029
8,2.288655,48.6956521997678,91345,Longjumeau,recycling,POINT (2.288655 48.6956521997678),12030
8,2.288655,48.6956521997678,91345,Longjumeau,recycling,POINT (2.288655 48.6956521997678),12155
8,2.288655,48.6956521997678,91345,Longjumeau,recycling,POINT (2.288655 48.6956521997678),12156
8,2.288655,48.6956521997678,91345,Longjumeau,recycling,POINT (2.288655 48.6956521997678),12281
8,2.288655,48.6956521997678,91345,Longjumeau,recycling,POINT (2.288655 48.6956521997678),12282
9,2.3124414,48.6728892997735,91216,Épinay-sur-Orge,recycling,POINT (2.3124414 48.6728892997735),12410
9,2.3124414,48.6728892997735,91216,Épinay-sur-Orge,recycling,POINT (2.3124414 48.6728892997735),12411
9,2.3124414,48.6728892997735,91216,Épinay-sur-Orge,recycling,POINT (2.3124414 48.6728892997735),12536
9,2.3124414,48.6728892997735,91216,Épinay-sur-Orge,recycling,POINT (2.3124414 48.6728892997735),12537
9,2.3124414,48.6728892997735,91216,Épinay-sur-Orge,recycling,POINT (2.3124414 48.6728892997735),12662
10,2.3124184,48.6728792997734,91216,Épinay-sur-Orge,recycling,POINT (2.3124184 48.6728792997734),12410
10,2.3124184,48.6728792997734,91216,Épinay-sur-Orge,recycling,POINT (2.3124184 48.6728792997734),12411
10,2.3124184,48.6728792997734,91216,Épinay-sur-Orge,recycling,POINT (2.3124184 48.6728792997734),12536
10,2.3124184,48.6728792997734,91216,Épinay-sur-Orge,recycling,POINT (2.3124184 48.6728792997734),12537
10,2.3124184,48.6728792997734,91216,Épinay-sur-Orge,recycling,POINT (2.3124184 48.6728792997734),12662
11,2.1559914,48.5568453998021,91106,Breux-Jouy,recycling,POINT (2.1559914 48.5568453998021),10155
11,2.1559914,48.5568453998021,91106,Breux-Jouy,recycling,POINT (2.1559914 48.5568453998021),10281
11,2.1559914,48.5568453998021,91106,Breux-Jouy,recycling,POINT (2.1559914 48.5568453998021),10282
