,X,Y,ATM/Agence,com_insee,com_nom,Type,Type_détaillé,geometry,0
0,2.2429399,48.8336246997336,atm,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2429399 48.8336246997336),[11384 11385 11510 11511 11636 11637]
1,2.2428508,48.8335971997336,bank,92012,Boulogne-Billancourt,banque,LCL,POINT (2.2428508 48.8335971997336),[11384 11385 11510 11511 11636 11637]
2,2.0403539,48.9307931997095,bank,78498,Poissy,banque,CIC,POINT (2.0403539 48.9307931997095),[8601 8602 8727 8728]
3,2.0417986,48.9300739997096,bank,78498,Poissy,banque,BNP Paribas,POINT (2.0417986 48.9300739997096),[8601 8602 8727 8728]
4,2.2444556,48.8321798997339,atm,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444556 48.8321798997339),[11384 11385 11510 11511 11636 11637]
5,2.244317,48.8324274997339,bank,92012,Boulogne-Billancourt,banque,,POINT (2.244317 48.8324274997339),[11384 11385 11510 11511 11636 11637]
6,2.2443689,48.8323844997339,atm,92012,Boulogne-Billancourt,banque,,POINT (2.2443689 48.8323844997339),[11384 11385 11510 11511 11636 11637]
7,2.2444582,48.8322514997339,bank,92012,Boulogne-Billancourt,banque,Caisse d'Epargne,POINT (2.2444582 48.8322514997339),[11384 11385 11510 11511 11636 11637]
8,2.3428231,48.8512712997292,bank,75056,Paris,banque,LCL,POINT (2.3428231 48.8512712997292),[12768 12769 12894 12895 13020 13021]
9,2.3479283,48.8917408997192,atm,75056,Paris,banque,,POINT (2.3479283 48.8917408997192),[12889 12890 13015 13016 13142]
10,2.6399491,48.8745199997234,atm,77479,Vaires-sur-Marne,banque,,POINT (2.6399491 48.8745199997234),[16924 17049 17050 17176]
11,2.6395019,48.8740446997236,atm,77479,Vaires-sur-Marne,banque,,POINT (2.6395019 48.8740446997236),[16924 17049 17050 17176]
12,2.6388583,48.8745242997235,atm,77479,Vaires-sur-Marne,banque,,POINT (2.6388583 48.8745242997235),[16924 17049 17050 17176]
13,2.8738904,48.9575410997029,atm,77284,Meaux,banque,,POINT (2.8738904 48.9575410997029),[20190 20191 20316 20317 20442 20443]
14,2.3109747,48.8464974997304,bank,75056,Paris,banque,BNP Paribas,POINT (2.3109747 48.8464974997304),[12265 12390 12391 12516 12517 12643]
15,2.3061606,48.8698841997246,atm,75056,Paris,banque,,POINT (2.3061606 48.8698841997246),[12262 12263 12388 12389 12514 12515]
16,2.3109952,48.8465596997304,atm,75056,Paris,banque,,POINT (2.3109952 48.8465596997304),[12265 12390 12391 12516 12517 12643]
17,2.318274,48.8411920997317,atm,75056,Paris,banque,,POINT (2.318274 48.8411920997317),[12392 12517 12518 12643 12644]
18,2.3491753,48.8598446997271,atm,75056,Paris,banque,,POINT (2.3491753 48.8598446997271),[12893 12894 13019 13020 13145 13146]
19,2.3491801,48.8598530997271,atm,75056,Paris,banque,,POINT (2.3491801 48.8598530997271),[12893 12894 13019 13020 13145 13146]
20,2.2277475,48.8326129997338,bank,92012,Boulogne-Billancourt,banque,BRED/Banque populaire,POINT (2.2277475 48.8326129997338),[11132 11133 11258 11259 11384 11385]
21,2.3868254,48.8631165997263,bank,75056,Paris,banque,BRED/Banque populaire,POINT (2.3868254 48.8631165997263),[13397 13523 13524 13649]
