,X,Y,nom_lieu,insee,com_lieu,Type,Type_détaillé,geometry,0
0,2.3155634,48.8653473997257,AKRAM,75056,Paris,carpool,Aire de covoiturage,POINT (2.3155634 48.8653473997257),12389
0,2.3155634,48.8653473997257,AKRAM,75056,Paris,carpool,Aire de covoiturage,POINT (2.3155634 48.8653473997257),12514
0,2.3155634,48.8653473997257,AKRAM,75056,Paris,carpool,Aire de covoiturage,POINT (2.3155634 48.8653473997257),12515
0,2.3155634,48.8653473997257,AKRAM,75056,Paris,carpool,Aire de covoiturage,POINT (2.3155634 48.8653473997257),12641
1,2.8239211,48.8476068997301,Bailly-Romainvilliers Mairie,77018,Bailly-Romainvilliers,carpool,Aire de covoiturage,POINT (2.8239211 48.8476068997301),19572
1,2.8239211,48.8476068997301,Bailly-Romainvilliers Mairie,77018,Bailly-Romainvilliers,carpool,Aire de covoiturage,POINT (2.8239211 48.8476068997301),19573
1,2.8239211,48.8476068997301,Bailly-Romainvilliers Mairie,77018,Bailly-Romainvilliers,carpool,Aire de covoiturage,POINT (2.8239211 48.8476068997301),19698
1,2.8239211,48.8476068997301,Bailly-Romainvilliers Mairie,77018,Bailly-Romainvilliers,carpool,Aire de covoiturage,POINT (2.8239211 48.8476068997301),19699
1,2.8239211,48.8476068997301,Bailly-Romainvilliers Mairie,77018,Bailly-Romainvilliers,carpool,Aire de covoiturage,POINT (2.8239211 48.8476068997301),19825
2,2.9205881,48.9120337997141,Boutigny,77049,Boutigny,carpool,Aire de covoiturage,POINT (2.9205881 48.9120337997141),20826
2,2.9205881,48.9120337997141,Boutigny,77049,Boutigny,carpool,Aire de covoiturage,POINT (2.9205881 48.9120337997141),20951
2,2.9205881,48.9120337997141,Boutigny,77049,Boutigny,carpool,Aire de covoiturage,POINT (2.9205881 48.9120337997141),20952
2,2.9205881,48.9120337997141,Boutigny,77049,Boutigny,carpool,Aire de covoiturage,POINT (2.9205881 48.9120337997141),21077
2,2.9205881,48.9120337997141,Boutigny,77049,Boutigny,carpool,Aire de covoiturage,POINT (2.9205881 48.9120337997141),21078
3,2.7087009,48.8371614997327,Bussy RER,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.7087009 48.8371614997327),17936
3,2.7087009,48.8371614997327,Bussy RER,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.7087009 48.8371614997327),18061
3,2.7087009,48.8371614997327,Bussy RER,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.7087009 48.8371614997327),18062
3,2.7087009,48.8371614997327,Bussy RER,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.7087009 48.8371614997327),18188
4,2.7079749,48.8390570997322,Conservatoire Bach,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.7079749 48.8390570997322),17935
4,2.7079749,48.8390570997322,Conservatoire Bach,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.7079749 48.8390570997322),17936
4,2.7079749,48.8390570997322,Conservatoire Bach,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.7079749 48.8390570997322),18061
4,2.7079749,48.8390570997322,Conservatoire Bach,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.7079749 48.8390570997322),18062
4,2.7079749,48.8390570997322,Conservatoire Bach,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.7079749 48.8390570997322),18188
5,2.7241316,48.8308332997343,ZAE Gustave Eiffel,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.7241316 48.8308332997343),18188
5,2.7241316,48.8308332997343,ZAE Gustave Eiffel,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.7241316 48.8308332997343),18189
5,2.7241316,48.8308332997343,ZAE Gustave Eiffel,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.7241316 48.8308332997343),18314
5,2.7241316,48.8308332997343,ZAE Gustave Eiffel,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.7241316 48.8308332997343),18315
6,2.6998031,48.8339044997335,ZAE Léonard de Vinci,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.6998031 48.8339044997335),17810
6,2.6998031,48.8339044997335,ZAE Léonard de Vinci,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.6998031 48.8339044997335),17811
6,2.6998031,48.8339044997335,ZAE Léonard de Vinci,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.6998031 48.8339044997335),17936
6,2.6998031,48.8339044997335,ZAE Léonard de Vinci,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.6998031 48.8339044997335),17937
6,2.6998031,48.8339044997335,ZAE Léonard de Vinci,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.6998031 48.8339044997335),18062
7,2.7192286,48.8392380997322,Lycée Martin Luther King,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.7192286 48.8392380997322),18061
7,2.7192286,48.8392380997322,Lycée Martin Luther King,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.7192286 48.8392380997322),18062
7,2.7192286,48.8392380997322,Lycée Martin Luther King,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.7192286 48.8392380997322),18187
7,2.7192286,48.8392380997322,Lycée Martin Luther King,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.7192286 48.8392380997322),18188
7,2.7192286,48.8392380997322,Lycée Martin Luther King,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.7192286 48.8392380997322),18314
8,2.737388,48.8446461997309,Collège Claude Monet,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.737388 48.8446461997309),18313
8,2.737388,48.8446461997309,Collège Claude Monet,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.737388 48.8446461997309),18439
8,2.737388,48.8446461997309,Collège Claude Monet,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.737388 48.8446461997309),18440
8,2.737388,48.8446461997309,Collège Claude Monet,77058,Bussy-Saint-Georges,carpool,Aire de covoiturage,POINT (2.737388 48.8446461997309),18565
9,2.7061826,48.8991806997173,Carnetin - Mairie,77062,Carnetin,carpool,Aire de covoiturage,POINT (2.7061826 48.8991806997173),17803
9,2.7061826,48.8991806997173,Carnetin - Mairie,77062,Carnetin,carpool,Aire de covoiturage,POINT (2.7061826 48.8991806997173),17929
9,2.7061826,48.8991806997173,Carnetin - Mairie,77062,Carnetin,carpool,Aire de covoiturage,POINT (2.7061826 48.8991806997173),17930
9,2.7061826,48.8991806997173,Carnetin - Mairie,77062,Carnetin,carpool,Aire de covoiturage,POINT (2.7061826 48.8991806997173),18055
9,2.7061826,48.8991806997173,Carnetin - Mairie,77062,Carnetin,carpool,Aire de covoiturage,POINT (2.7061826 48.8991806997173),18056
10,2.5217942,48.4572162998267,Parking covoiturage de Cély-en-Bière,77065,Cély,carpool,Aire de covoiturage,POINT (2.5217942 48.4572162998267),15332
10,2.5217942,48.4572162998267,Parking covoiturage de Cély-en-Bière,77065,Cély,carpool,Aire de covoiturage,POINT (2.5217942 48.4572162998267),15333
10,2.5217942,48.4572162998267,Parking covoiturage de Cély-en-Bière,77065,Cély,carpool,Aire de covoiturage,POINT (2.5217942 48.4572162998267),15458
10,2.5217942,48.4572162998267,Parking covoiturage de Cély-en-Bière,77065,Cély,carpool,Aire de covoiturage,POINT (2.5217942 48.4572162998267),15459
10,2.5217942,48.4572162998267,Parking covoiturage de Cély-en-Bière,77065,Cély,carpool,Aire de covoiturage,POINT (2.5217942 48.4572162998267),15584
11,2.5860124,48.8425012997314,Bienvenüe,77083,Champs-sur-Marne,carpool,Aire de covoiturage,POINT (2.5860124 48.8425012997314),16171
11,2.5860124,48.8425012997314,Bienvenüe,77083,Champs-sur-Marne,carpool,Aire de covoiturage,POINT (2.5860124 48.8425012997314),16172
11,2.5860124,48.8425012997314,Bienvenüe,77083,Champs-sur-Marne,carpool,Aire de covoiturage,POINT (2.5860124 48.8425012997314),16297
11,2.5860124,48.8425012997314,Bienvenüe,77083,Champs-sur-Marne,carpool,Aire de covoiturage,POINT (2.5860124 48.8425012997314),16298
11,2.5860124,48.8425012997314,Bienvenüe,77083,Champs-sur-Marne,carpool,Aire de covoiturage,POINT (2.5860124 48.8425012997314),16423
11,2.5860124,48.8425012997314,Bienvenüe,77083,Champs-sur-Marne,carpool,Aire de covoiturage,POINT (2.5860124 48.8425012997314),16424
12,2.5858232,48.8387931997323,Copernic,77083,Champs-sur-Marne,carpool,Aire de covoiturage,POINT (2.5858232 48.8387931997323),16172
12,2.5858232,48.8387931997323,Copernic,77083,Champs-sur-Marne,carpool,Aire de covoiturage,POINT (2.5858232 48.8387931997323),16297
12,2.5858232,48.8387931997323,Copernic,77083,Champs-sur-Marne,carpool,Aire de covoiturage,POINT (2.5858232 48.8387931997323),16298
