,geometry,Polygon
0,POINT (2.605599 49.00553489969095),16405
0,POINT (2.605599 49.00553489969095),16531
0,POINT (2.605599 49.00553489969095),16532
0,POINT (2.605599 49.00553489969095),16657
0,POINT (2.605599 49.00553489969095),16658
1,POINT (2.605668 49.00552879969097),16405
1,POINT (2.605668 49.00552879969097),16531
1,POINT (2.605668 49.00552879969097),16532
1,POINT (2.605668 49.00552879969097),16657
1,POINT (2.605668 49.00552879969097),16658
2,POINT (2.6057369 49.005522799690986),16405
2,POINT (2.6057369 49.005522799690986),16531
2,POINT (2.6057369 49.005522799690986),16532
2,POINT (2.6057369 49.005522799690986),16657
2,POINT (2.6057369 49.005522799690986),16658
3,POINT (2.6058059 49.005516699690965),16405
3,POINT (2.6058059 49.005516699690965),16531
3,POINT (2.6058059 49.005516699690965),16532
3,POINT (2.6058059 49.005516699690965),16657
3,POINT (2.6058059 49.005516699690965),16658
4,POINT (2.6058748999999994 49.005510699690966),16405
4,POINT (2.6058748999999994 49.005510699690966),16531
4,POINT (2.6058748999999994 49.005510699690966),16532
4,POINT (2.6058748999999994 49.005510699690966),16657
4,POINT (2.6058748999999994 49.005510699690966),16658
5,POINT (2.6059438 49.005504599690966),16405
5,POINT (2.6059438 49.005504599690966),16531
5,POINT (2.6059438 49.005504599690966),16532
5,POINT (2.6059438 49.005504599690966),16657
5,POINT (2.6059438 49.005504599690966),16658
6,POINT (2.6060128 49.00549859969098),16405
6,POINT (2.6060128 49.00549859969098),16531
6,POINT (2.6060128 49.00549859969098),16532
6,POINT (2.6060128 49.00549859969098),16657
6,POINT (2.6060128 49.00549859969098),16658
7,POINT (2.6060817999999997 49.00549249969098),16405
7,POINT (2.6060817999999997 49.00549249969098),16531
7,POINT (2.6060817999999997 49.00549249969098),16532
7,POINT (2.6060817999999997 49.00549249969098),16657
7,POINT (2.6060817999999997 49.00549249969098),16658
8,POINT (2.6061494999999995 49.005486599690975),16405
8,POINT (2.6061494999999995 49.005486599690975),16531
8,POINT (2.6061494999999995 49.005486599690975),16532
8,POINT (2.6061494999999995 49.005486599690975),16657
8,POINT (2.6061494999999995 49.005486599690975),16658
9,POINT (2.6062175999999995 49.005480599690976),16405
9,POINT (2.6062175999999995 49.005480599690976),16531
9,POINT (2.6062175999999995 49.005480599690976),16532
9,POINT (2.6062175999999995 49.005480599690976),16657
9,POINT (2.6062175999999995 49.005480599690976),16658
10,POINT (2.0495797 48.72658729976014),8624
10,POINT (2.0495797 48.72658729976014),8750
10,POINT (2.0495797 48.72658729976014),8751
10,POINT (2.0495797 48.72658729976014),8876
10,POINT (2.0495797 48.72658729976014),8877
11,POINT (2.0193330999999994 48.7331828997585),8245
11,POINT (2.0193330999999994 48.7331828997585),8246
11,POINT (2.0193330999999994 48.7331828997585),8371
11,POINT (2.0193330999999994 48.7331828997585),8372
11,POINT (2.0193330999999994 48.7331828997585),8497
11,POINT (2.0193330999999994 48.7331828997585),8498
12,POINT (2.0666860999999996 48.698862799767014),8879
12,POINT (2.0666860999999996 48.698862799767014),9005
12,POINT (2.0666860999999996 48.698862799767014),9006
12,POINT (2.0666860999999996 48.698862799767014),9131
12,POINT (2.0666860999999996 48.698862799767014),9132
13,POINT (2.0710909000000006 48.703129299765955),9005
