,X,Y,name,com_insee,com_nom,Type,Type_détaillé,geometry,0
0,2.2897403,48.8216368997366,Médiathèque,92075,Vanves,library,Médiathèque,POINT (2.2897403 48.8216368997366),[12016 12141 12142 12267 12268]
1,3.0632175,49.0916381996697,Missing,77148,Crouy-sur-Ourcq,library,Dépôt à livres,POINT (3.0632175 49.0916381996697),[22821 22822 22947 22948 23073 23074]
2,2.4466064,48.9850050996961,Médiathèque,95277,Gonesse,library,Médiathèque,POINT (2.4466064 48.9850050996961),[14265 14266 14391 14392]
3,2.3682839,49.1168385996634,Missing,95652,Viarmes,library,Dépôt à livres,POINT (2.3682839 49.1168385996634),[13117 13242 13243 13369]
4,2.1712497,48.5648555998002,Missing,91105,Breuillet,library,Dépôt à livres,POINT (2.1712497 48.5648555998002),[10406 10407 10532 10533 10658 10659]
5,2.1786724,48.541353399806,La boîte à livres,91578,Saint-Sulpice-de-Favières,library,Dépôt à livres,POINT (2.1786724 48.541353399806),[10535 10660 10661 10787]
6,2.1487889,48.5301645998087,Missing,91602,Souzy-la-Briche,library,Dépôt à livres,POINT (2.1487889 48.5301645998087),[10032 10158 10159 10284 10285]
7,2.1253362,48.553399799803,Missing,91540,Saint-Chéron,library,Bibliothèque,POINT (2.1253362 48.553399799803),[ 9777  9778  9903  9904 10029 10030]
8,2.3576034,48.985105299696,Missing,95288,Groslay,library,Dépôt à livres,POINT (2.3576034 48.985105299696),[13005 13006 13131 13132 13257 13258]
9,2.8736234,48.956881199703,Missing,77284,Meaux,library,Dépôt à livres,POINT (2.8736234 48.956881199703),[20190 20191 20316 20317 20442 20443]
10,2.1215277,48.8207286997368,Bibliothèque du Chesnay,78158,Le Chesnay-Rocquencourt,library,Bibliothèque,POINT (2.1215277 48.8207286997368),[9622 9747 9748 9873 9874]
11,2.2863879,48.8947152997184,Missing,92044,Levallois-Perret,library,Dépôt à livres,POINT (2.2863879 48.8947152997184),[12007 12008 12133 12134 12259 12260]
12,2.2890091,48.8980467997176,Missing,92044,Levallois-Perret,library,Dépôt à livres,POINT (2.2890091 48.8980467997176),[12007 12133 12134 12259]
13,2.2893191,48.8976970997177,Missing,92044,Levallois-Perret,library,Dépôt à livres,POINT (2.2893191 48.8976970997177),[12007 12133 12134 12259 12260]
14,2.4521902,48.7054935997654,C.D.I,91421,Montgeron,library,Bibliothèque,POINT (2.4521902 48.7054935997654),[14297 14422 14423 14548 14549]
15,2.275384,48.8989110997174,Missing,92044,Levallois-Perret,library,Dépôt à livres,POINT (2.275384 48.8989110997174),[11881 11882 12007 12008 12133]
16,2.3223424,49.066109599676,Missing,95430,Montsoult,library,Dépôt à livres,POINT (2.3223424 49.066109599676),[12492 12493 12618 12619 12744 12745]
17,2.209808,49.1148667996639,Missing,95480,Parmain,library,Dépôt à livres,POINT (2.209808 49.1148667996639),[10849 10975 10976 11101]
18,2.2414828,49.1356707996588,Missing,95134,Champagne-sur-Oise,library,Dépôt à livres,POINT (2.2414828 49.1356707996588),[11350 11351 11476 11477 11603]
19,2.375279,48.8699499997246,Le Bouquin qui bulle,75056,Paris,library,Bibliothèque,POINT (2.375279 48.8699499997246),[13270 13271 13396 13397 13522]
20,2.3447374,48.8624221997264,Bibliothèque du cinéma François-Truffaut,75056,Paris,library,Bibliothèque,POINT (2.3447374 48.8624221997264),[12767 12893 12894 13019 13020]
21,2.387096,48.8949557997184,Bibliothèque des Sciences et de l'Industrie,75056,Paris,library,Bibliothèque,POINT (2.387096 48.8949557997184),[13393 13394 13519 13520 13645 13646]
22,2.3673219,48.8850501997208,Bibliothèque Hergé,75056,Paris,library,Bibliothèque,POINT (2.3673219 48.8850501997208),[13142 13143 13268 13269 13395]
23,2.6157425,48.5635535998005,Bibliothèque Gérard Philipe,77495,Vert-Saint-Denis,library,Bibliothèque,POINT (2.6157425 48.5635535998005),[16706 16707 16832 16833]
24,2.2859422,48.8938446997186,Bibliothèque Gabriel Péri,92044,Levallois-Perret,library,Bibliothèque,POINT (2.2859422 48.8938446997186),[12007 12008 12133 12134 12260]
25,1.9883106,48.8190543997372,Missing,78165,Les Clayes-sous-Bois,library,Bibliothèque,POINT (1.9883106 48.8190543997372),[7858 7984 8110]
26,2.5769688,48.7910073997442,Bibliothèque Municipale,94060,La Queue-en-Brie,library,Bibliothèque,POINT (2.5769688 48.7910073997442),[16051 16177 16178 16303]
27,2.5045976,48.9474667997053,Bibliothèque Alphonse Daudet,93005,Aulnay-sous-Bois,library,Bibliothèque,POINT (2.5045976 48.9474667997053),[15025 15026 15151 15152 15277 15278]
28,2.4956645,48.9309098997095,Bibliothèque Dumont,93005,Aulnay-sous-Bois,library,Bibliothèque,POINT (2.4956645 48.9309098997095),[14901 14902 15027 15028 15153 15154]
29,2.4829782,48.9291829997099,Bibliothèque Turgot,93005,Aulnay-sous-Bois,library,Bibliothèque,POINT (2.4829782 48.9291829997099),[14775 14776 14901 14902 15028]
30,2.4009159,48.6461937997801,Médiathèque Elsa Triolet,91521,Ris-Orangis,library,Médiathèque,POINT (2.4009159 48.6461937997801),[13673 13674 13799 13800]
31,2.0418205,48.7830486997461,Médiathèque du Canal,78423,Montigny-le-Bretonneux,library,Médiathèque,POINT (2.0418205 48.7830486997461),[8618 8744 8870]
32,2.3027106,48.8780916997226,Bibliothèque Courcelles,75056,Paris,library,Bibliothèque,POINT (2.3027106 48.8780916997226),[12261 12262 12387 12388]
33,2.3109746,48.8460500997305,Bibliothèque Pour Tous,75056,Paris,library,Bibliothèque,POINT (2.3109746 48.8460500997305),[12265 12391 12517 12643]
34,2.543603,49.1012303996673,Bibliothèque de Survilliers,95604,Survilliers,library,Bibliothèque,POINT (2.543603 49.1012303996673),[15513 15638 15639 15764 15765]
35,2.3009942,48.8207404997368,Médiathèque Pablo Neruda,92046,Malakoff,library,Médiathèque,POINT (2.3009942 48.8207404997368),[12142 12267 12268 12393 12394]
36,1.9422095,48.5724432997983,Médiathèque Municipale,78537,Saint-Arnoult-en-Yvelines,library,Médiathèque,POINT (1.9422095 48.5724432997983),[7255 7256 7381 7382]
37,2.2543321,48.8228738997363,Médiathèque des Chartreux,92040,Issy-les-Moulineaux,library,Médiathèque,POINT (2.2543321 48.8228738997363),[11511 11512 11637 11638 11763 11764]
38,2.5831145,48.5814889997961,Médiathèque des Cités Unies,77445,Savigny-le-Temple,library,Médiathèque,POINT (2.5831145 48.5814889997961),[16200 16201 16326 16327 16452 16453]
39,2.2202006,48.9101452997146,Médiathèque du Petit Nanterre,92050,Nanterre,library,Médiathèque,POINT (2.2202006 48.9101452997146),[10998 11123 11124 11249 11250]
40,2.2520962,48.9223776997116,Bibliothèque Jacques Prévert,92025,Colombes,library,Bibliothèque,POINT (2.2520962 48.9223776997116),[11500 11501 11626 11627 11752 11753]
41,2.3575134,48.8131104997387,Missing,94043,Le Kremlin-Bicêtre,library,Bibliothèque,POINT (2.3575134 48.8131104997387),[13024 13025 13150 13151 13277]
42,1.8496684,48.6958847997677,Bibliothèque Municipale,78486,Le Perray-en-Yvelines,library,Bibliothèque,POINT (1.8496684 48.6958847997677),[5856 5981 5982 6107 6108]
43,2.3351021,48.8052462997406,Médiathèque Municipale Louis Pergault,94003,Arcueil,library,Médiathèque,POINT (2.3351021 48.8052462997406),[12647 12648 12773 12774 12899 12900]
44,1.7918788,48.9867135996956,Missing,78314,Issou,library,Bibliothèque,POINT (1.7918788 48.9867135996956),[5067 5068 5193 5194 5319]
45,1.9342602,48.7648417997506,Médiathèque Le Phare,78383,Maurepas,library,Médiathèque,POINT (1.9342602 48.7648417997506),[7108 7234 7360]
46,1.8990202,48.9634688997014,Missing,78090,Bouafle,library,Bibliothèque,POINT (1.8990202 48.9634688997014),[6582 6707 6708 6834]
47,2.2940299,48.9255614997108,Médiathèque François-Rabelais,92036,Gennevilliers,library,Médiathèque,POINT (2.2940299 48.9255614997108),[12130 12131 12256 12257 12382]
48,2.1342799,48.8936387997187,Bibliothèque,78650,Le Vésinet,library,Bibliothèque,POINT (2.1342799 48.8936387997187),[ 9865  9866  9991  9992 10118]
49,2.3743411,48.6905222997691,Médiathèque Raymond Queneau,91326,Juvisy-sur-Orge,library,Médiathèque,POINT (2.3743411 48.6905222997691),[13290 13291 13416 13417]
50,2.2839689,49.0089005996901,Bibliothèque Intercommunale Victor Hugo,95426,Montlignon,library,Bibliothèque,POINT (2.2839689 49.0089005996901),[11869 11994 11995 12120 12121 12247]
51,2.194166,48.4937006998177,Missing,91226,Étréchy,library,Dépôt à livres,POINT (2.194166 48.4937006998177),[10792 10793 10918 10919]
52,2.1882374,48.699043399767,Médiathèque Georges Brassens,91471,Orsay,library,Médiathèque,POINT (2.1882374 48.699043399767),[10643 10644 10769 10770 10895]
53,2.5144846,48.7923812997438,Médiathèque Germaine Tillion,94068,Saint-Maur-des-Fossés,library,Médiathèque,POINT (2.5144846 48.7923812997438),[15169 15294 15295 15421]
54,2.2910638,48.9117033997142,Médiathèque Émile Bernard,92004,Asnières-sur-Seine,library,Médiathèque,POINT (2.2910638 48.9117033997142),[12006 12131 12132 12257 12258]
55,2.1812241,48.9791124996975,Bibliothèque municipale,95257,La Frette-sur-Seine,library,Bibliothèque,POINT (2.1812241 48.9791124996975),[10486 10612 10613 10738]
56,2.360224,48.8695099997247,Bibliothèque Claire Bretécher,75056,Paris,library,Bibliothèque,POINT (2.360224 48.8695099997247),[13018 13019 13144 13145 13270 13271]
57,2.3516207,48.6644348997755,Médiathèque Louis-Aragon,91434,Morsang-sur-Orge,library,Médiathèque,POINT (2.3516207 48.6644348997755),[12915 13041 13042 13167]
